,date,open,high,close,low,volume,time,bb_bbm,bb_bbh,bb_bbl
202,1/11/2019,3626.12,3699.99,3635.69,3576,14489.68867,1547164800,3561.8145,3710.046987,3413.582013
203,1/10/2019,4004.13,4035.21,3626.12,3560,21869.1838,1547078400,3571.243,3710.368806,3432.117194
204,1/9/2019,3993.85,4042.2,4004.12,3962.12,10704.12811,1546992000,3601.578,3818.62351,3384.53249
205,1/8/2019,4005.97,4114.8,3993.86,3943.36,13959.39645,1546905600,3629.7735,3892.098886,3367.448114
206,1/7/2019,4040.98,4070,4006.01,3968.79,9973.665385,1546819200,3653.523,3958.348824,3348.697176
207,1/6/2019,3799.99,4088,4040.99,3756.01,10057.45367,1546732800,3677.769,4022.288995,3333.249005
208,1/5/2019,3820.82,3874.12,3798.62,3775,6451.00775,1546646400,3689.5915,4033.660254,3345.522746
209,1/4/2019,3787.57,3849,3820.82,3730,9225.1505,1546560000,3702.184,4046.10739,3358.26061
210,1/3/2019,3890.8,3893.8,3787.57,3758.07,9327.647089,1546473600,3713.912,4052.645954,3375.178046
211,1/2/2019,3826.1,3916.57,3890.79,3770.07,9982.470846,1546387200,3729.6,4070.578104,3388.621896
212,1/1/2019,3691.87,3841.17,3826.1,3651.02,10812.88499,1546300800,3744.317,4075.125137,3413.508863
0,1/1/2019,3691.87,3841.17,3826.1,3651.02,10812.88499,1546300800,3758.8125,4077.038627,3440.586373
1,12/31/2018,3829,3835.4,3691.86,3625,12799.94263,1546214400,3759.273,4077.083323,3441.462677
2,12/30/2018,3729.31,3863.06,3829,3691.01,8725.838515,1546128000,3770.3305,4081.619617,3459.041383
3,12/29/2018,3887.58,3944.33,3729.31,3706,9781.018322,1546041600,3774.7635,4081.023909,3468.503091
4,12/28/2018,3589.89,3971.58,3888.06,3576.12,16776.66567,1545955200,3788.681,4088.913142,3488.448858
5,12/27/2018,3809.88,3841.21,3589.89,3567,13433.23545,1545868800,3789.1375,4088.128886,3490.146114
6,12/26/2018,3780,3849.2,3809.88,3685.02,9409.625557,1545782400,3796.422,4089.930549,3502.913451
7,12/25/2018,4034,4045.41,3780,3675.86,13871.75447,1545696000,3809.71,4073.470468,3545.949532
8,12/24/2018,3944.92,4239.37,4034,3944.92,19713.64189,1545609600,3830.4395,4096.276139,3564.602861
9,12/23/2018,3981.24,4050,3944.93,3903.6,10282.45711,1545523200,3845.9015,4100.359682,3591.443318
10,12/22/2018,3839.26,4005,3980.46,3790.16,9902.767616,1545436800,3863.6185,4103.313753,3623.923247
11,12/21/2018,4075.33,4162.27,3839.06,3775,23496.86263,1545350400,3855.3655,4086.350036,3624.380964
12,12/20/2018,3682.51,4175,4075.34,3661.5,30698.00489,1545264000,3859.4395,4102.604211,3616.274789
13,12/19/2018,3667.76,3928.15,3682.51,3637.17,28456.24369,1545177600,3843.2645,4088.308948,3598.220052
14,12/18/2018,3497.1,3688,3667.77,3436.5,16980.16943,1545091200,3824.6035,4063.338582,3585.868418
15,12/17/2018,3194.99,3585.95,3496.82,3184.28,21857.11843,1545004800,3809.5135,4087.788513,3531.238487
16,12/16/2018,3183.01,3258,3195,3181.24,7211.242131,1544918400,3778.2225,4164.253946,3392.191054
17,12/15/2018,3195.71,3228.69,3183,3128.89,9343.272397,1544832000,3747.994,4212.973266,3283.014734
18,12/14/2018,3265,3294.9,3195.71,3135,14656.53845,1544745600,3713.24,4231.216582,3195.263418
19,12/13/2018,3430.24,3439.63,3265,3227.96,14265.26124,1544659200,3685.185,4235.44653,3134.92347
20,12/12/2018,3350.27,3486.16,3430.24,3325.58,10524.18793,1544572800,3665.392,4222.391716,3108.392284
21,12/11/2018,3410.15,3424.92,3349.36,3293.49,11090.98128,1544486400,3648.267,4221.774415,3074.759585
22,12/10/2018,3531.18,3590.71,3410.15,3354.97,13513.91206,1544400000,3627.3245,4203.487202,3051.161798
23,12/9/2018,3401,3642.51,3531.18,3367.79,11758.12531,1544313600,3617.418,4193.038924,3041.797076
24,12/8/2018,3380,3495,3401,3253.66,13700.64053,1544227200,3593.065,4161.998305,3024.131695
25,12/7/2018,3433.3,3550,3380.01,3212,37833.30636,1544140800,3582.571,4159.043966,3006.098034
26,12/6/2018,3694.39,3849,3433.26,3400,28942.88212,1544054400,3563.74,4133.85186,2993.62814
27,12/5/2018,3901.84,3912.53,3694.39,3660,14945.04244,1543968000,3559.4595,4124.273141,2994.645859
