,date,open,high,close,low,volume,time,bb_bbm,bb_bbh,bb_bbl
117,2016-04-28,445.3,451.88,451.68,434.79,7644.69210461,1461801600,440.3684999999999,470.8741553937141,409.86284460628576
118,2016-04-29,451.67,459.44,458.82,448.5,5965.09735013,1461888000,442.33650000000006,472.265773479322,412.40722652067814
119,2016-04-30,458.8,459.33,454.02,450.13,4710.2895045,1461974400,443.8675,472.8841882155777,414.8508117844223
120,2016-05-01,454.02,457.07,456.98,451.55,2941.67587876,1462060800,445.51950000000005,473.55551717434287,417.48348282565723
121,2016-05-02,456.98,457.63,446.42,440.02,7694.20823194,1462147200,446.4504999999999,473.28177389819655,419.6192261018033
122,2016-05-03,446.53,453.29,452.21,443.61,5892.48138372,1462233600,447.782,472.9284610631406,422.63553893685935
123,2016-05-04,452.21,453.23,448.68,446.76,4883.54001476,1462320000,448.9,472.0383361545304,425.76166384546957
124,2016-05-05,448.59,451.56,449.98,447.0,5336.21991152,1462406400,449.85249999999996,471.4719975658559,428.23300243414405
125,2016-05-06,449.99,463.73,462.31,448.84,6193.77720515,1462492800,451.2985,472.17609782637965,430.42090217362033
126,2016-05-07,462.31,464.0,461.91,459.55,3463.8802064,1462579200,452.84399999999994,471.9864861499245,433.7015138500754
127,2016-05-08,461.91,465.0,462.79,457.5,3275.57794242,1462665600,454.43500000000006,471.1801443708335,437.68985562916663
128,2016-05-09,462.6,465.9,464.16,459.41,5882.94056987,1462752000,455.78999999999996,471.00817203214814,440.5718279678518
129,2016-05-10,464.15,465.0,452.78,448.2,6814.25705519,1462838400,456.28100000000006,470.40610799958915,442.155892000411
130,2016-05-11,452.77,458.65,454.37,452.5,5746.40549365,1462924800,456.387,470.42104161316536,442.35295838683464
131,2016-05-12,454.56,456.57,456.48,449.27,6119.04462476,1463011200,456.79050000000007,470.3396069447421,443.241393055258
132,2016-05-13,456.48,458.03,457.98,453.84,5404.20702972,1463097600,456.90500000000003,470.45367595007195,443.3563240499281
133,2016-05-14,457.97,459.83,458.9,456.0,3295.1997074,1463184000,456.62700000000007,469.7661736422067,443.48782635779344
134,2016-05-15,458.9,463.62,461.47,458.49,3269.98252507,1463270400,456.392,468.9973220506283,443.78667794937166
135,2016-05-16,461.48,461.59,455.66,451.48,6019.17236655,1463356800,455.64549999999997,466.4369604665011,444.85403953349885
136,2016-05-17,455.64,457.49,454.19,452.2,6033.90842585,1463443200,456.08949999999993,465.8222415973124,446.35675840268743
137,2016-05-18,454.19,457.88,455.56,453.6,5512.42378222,1463529600,456.2835,465.8094147067385,446.7575852932615
138,2016-05-19,455.56,456.41,438.38,435.0,8412.58613924,1463616000,455.26149999999996,467.483832469707,443.0391675302929
139,2016-05-20,437.91,445.85,445.65,435.5,7178.735362,1463702400,454.843,467.7601499952604,441.92585000473963
140,2016-05-21,445.52,446.99,446.28,441.88,3945.71821234,1463788800,454.308,467.7042496244305,440.9117503755695
141,2016-05-22,446.27,446.45,442.48,440.89,3779.58274056,1463875200,454.11100000000005,468.0695269996535,440.1524730003466
142,2016-05-23,442.45,446.3,445.67,440.79,5659.42935339,1463961600,453.784,468.2041281547722,439.3638718452278
143,2016-05-24,445.56,448.5,446.99,440.5,6536.8124736,1464048000,453.6995,468.2574208336923,439.1415791663077
144,2016-05-25,446.98,452.42,451.49,446.86,6167.95576946,1464134400,453.775,468.27050620020054,439.2794937997994
145,2016-05-26,451.45,454.99,454.97,449.0,5843.88197402,1464220800,453.408,467.3828811801766,439.43311881982345
146,2016-05-27,454.97,476.75,471.27,454.35,9888.02648828,1464307200,453.87600000000003,469.48928331902215,438.2627166809779
147,2016-05-28,471.21,539.49,523.25,470.13,12107.45659727,1464393600,456.899,490.867794444314,422.93020555568603
148,2016-05-29,523.35,549.99,525.22,491.01,9957.52724318,1464480000,459.95200000000006,505.11396567909844,414.79003432090167
149,2016-05-30,525.22,541.0,532.55,519.0,5960.33332201,1464566400,463.9405,518.892997841318,408.9880021586819
150,2016-05-31,532.56,544.9,531.34,520.01,8491.97268136,1464652800,467.78900000000004,529.8434344587885,405.7345655412116
151,2016-06-01,531.25,541.5,534.84,524.39,5736.65283224,1464739200,471.707,539.9927127369999,403.42128726300007
152,2016-06-02,534.85,541.2,537.87,531.86,6329.87872329,1464825600,475.70149999999995,549.43708741205,401.9659125879499
153,2016-06-03,538.06,578.0,571.25,535.96,10203.7254522,1464912000,481.31899999999996,565.4626671176154,397.1753328823845
154,2016-06-04,571.09,594.64,576.31,564.29,6932.07537817,1464998400,487.06100000000004,580.1960412895173,393.92595871048275
155,2016-06-05,576.31,585.0,575.17,570.22,4984.2494482,1465084800,493.03650000000005,592.4686081492296,393.60439185077047
156,2016-06-06,575.17,588.15,586.77,575.0,6791.26453533,1465171200,499.66549999999995,605.3364669634951,393.9945330365048
157,2016-06-07,586.75,590.95,579.71,475.0,10079.83684173,1465257600,505.87300000000005,614.9811408695066,396.76485913049345
158,2016-06-08,579.72,583.99,583.21,572.96,5661.74917272,1465344000,513.1144999999999,622.5675512091832,403.6614487908166
159,2016-06-09,583.19,583.48,577.46,574.0,4979.63044035,1465430400,519.705,627.982461089555,411.42753891044504
160,2016-06-10,577.47,581.0,580.31,573.5,5659.48661659,1465516800,526.4064999999999,632.2399316319757,420.57306836802417
161,2016-06-11,580.31,610.0,609.5,580.31,5542.22525864,1465603200,534.7574999999999,639.1315049772934,430.3834950227065
162,2016-06-12,609.5,687.71,677.86,605.0,18004.01737962,1465689600,546.367,659.7828698066548,432.95113019334514
163,2016-06-13,677.45,720.0,706.01,663.55,15497.40307056,1465776000,559.318,683.0688213467695,435.5671786532304
164,2016-06-14,706.02,706.45,684.95,650.02,12443.0955638,1465862400,570.991,695.893099405895,446.088900594105
165,2016-06-15,684.99,699.3,698.78,673.0,7913.03547125,1465948800,583.1814999999999,708.0010997870528,458.361900212947
166,2016-06-16,698.76,777.68,769.76,698.76,16806.85873763,1466035200,598.106,736.4766625553266,459.7353374446734
167,2016-06-17,769.71,778.5,752.26,709.01,14007.79895098,1466121600,609.5565,758.7342176759319,460.37878232406814
168,2016-06-18,752.0,785.15,758.99,734.8,9594.92358376,1466208000,621.245,778.5696721274195,463.9203278725805
169,2016-06-19,759.0,771.92,768.76,744.77,5442.63878549,1466294400,633.0555,797.2866640919593,468.8243359080408
170,2016-06-20,768.94,768.94,703.12,701.01,9837.24384715,1466380800,641.6445,801.6113397481179,481.67766025188206
171,2016-06-21,706.47,718.26,667.66,628.6,26110.68887273,1466467200,648.2855,800.820411738264,495.7505882617358
172,2016-06-22,667.88,679.99,604.5,568.11,15592.43638084,1466553600,651.617,797.1079660563157,506.12603394368415
173,2016-06-23,606.13,637.89,631.1,544.13,20474.00358887,1466640000,654.6095,795.76267743147,513.45632256853
174,2016-06-24,631.1,700.0,669.98,631.01,19078.84530672,1466726400,659.2929999999999,795.8857045050357,522.700295494964
175,2016-06-25,669.98,699.0,673.71,650.0,7691.56323655,1466812800,664.22,795.3180539901339,533.1219460098662
176,2016-06-26,673.71,675.19,638.56,625.01,5678.38601546,1466899200,666.8095000000001,793.6632123579758,539.9557876420243
177,2016-06-27,638.56,659.98,657.87,630.0,6624.33980245,1466985600,670.7175,791.2558459111665,550.1791540888335
178,2016-06-28,657.86,663.53,648.43,638.0,5696.74677715,1467072000,673.9784999999999,788.2360615484596,559.7209384515403
179,2016-06-29,648.43,648.43,639.42,630.02,6485.12685807,1467158400,677.0764999999999,783.8102517892069,570.3427482107929
180,2016-06-30,639.41,675.0,673.49,635.14,7764.24646799,1467244800,681.7355,778.8698921533462,584.6011078466538
181,2016-07-01,673.5,688.99,678.19,667.0,6839.68854227,1467331200,685.17,776.5309741629326,593.8090258370673
182,2016-07-02,678.09,705.21,704.95,676.92,4977.98046916,1467417600,686.5245,778.2144742556407,594.8345257443593
183,2016-07-03,705.25,705.25,663.55,651.0,6495.70846259,1467504000,684.4014999999999,776.1547094860994,592.6482905139005
184,2016-07-04,664.09,683.69,681.98,653.16,4327.4107689,1467590400,684.253,776.0117914262173,592.4942085737828
185,2016-07-05,681.98,682.37,669.87,662.51,5043.81182652,1467676800,682.8075,774.5161981425429,591.0988018574571
186,2016-07-06,669.75,680.79,678.79,665.0,5668.23807828,1467763200,678.259,760.835089251066,595.682910748934
187,2016-07-07,678.79,683.44,641.97,611.94,12281.48061343,1467849600,672.7445,749.3298796687071,596.1591203312929
188,2016-07-08,641.97,667.33,667.33,638.04,11055.36574175,1467936000,668.1614999999999,733.7321560208146,602.5908439791853
189,2016-07-09,667.07,667.3,657.61,608.0,9607.6959149,1468022400,662.604,709.232563091736,615.9754369082641
190,2016-07-10,657.6,657.61,652.44,641.0,3705.89414753,1468108800,660.07,702.9755987022672,617.1644012977329
191,2016-07-11,652.43,664.27,650.97,648.11,4815.437046,1468195200,659.2355,702.1673671734644,616.3036328265356
192,2016-07-12,651.25,675.5,666.56,648.6,10666.08971384,1468281600,662.3385000000001,697.212063784047,627.4649362159531
193,2016-07-13,666.25,671.45,655.34,654.86,21882.00922995,1468368000,663.5505,695.5648202176776,631.5361797823225
194,2016-07-14,655.3,663.99,661.65,640.0,4649.64369535,1468454400,663.134,695.0193805998924,631.2486194001076
195,2016-07-15,661.4,669.98,667.48,660.68,4725.74361249,1468540800,662.8225,694.4088349409201,631.2361650590799
196,2016-07-16,667.48,669.99,666.32,662.01,2908.02982543,1468627200,664.2105,693.7858799468409,634.6351200531592
197,2016-07-17,666.3,680.99,680.0,665.95,3944.42402405,1468713600,665.317,695.5101615436344,635.1238384563657
198,2016-07-18,680.0,684.94,675.5,670.0,4547.72178477,1468800000,666.6705,696.1324025013661,637.2085974986338
199,2016-07-19,675.51,676.87,673.98,666.17,3799.77117828,1468886400,668.3985,695.1982681146687,641.5987318853313
200,2016-07-20,673.98,674.99,666.92,664.6,3603.86279956,1468972800,668.0699999999999,694.7729668763606,641.3670331236393
201,2016-07-21,667.15,668.4,667.28,661.19,3967.87180841,1469059200,667.5245000000001,693.8208894669974,641.2281105330028
202,2016-07-22,667.27,669.94,654.67,647.59,7371.96466565,1469145600,665.0105,685.4832462495874,644.5377537504125
